Date,Median income,Population,Mortgage Rate,Interest Rate,property_type,price,Median income_normalized,Population_normalized,Mortgage Rate_normalized,Interest Rate_normalized
2005-01-01,4487.5,10691670.33333333,5.6,2.75,One_storey,207700,-1.8954914623824055,-1.6159494495787967,1.0866377884061305,0.8390174829969151
2005-02-01,4487.5,10691670.33333333,5.59,2.75,One_storey,208400,-1.8954914623824055,-1.6159494495787967,1.076064330713646,0.8390174829969151
2005-03-01,4487.5,10691670.33333333,5.6,2.75,One_storey,209200,-1.8954914623824055,-1.6159494495787967,1.0866377884061305,0.8390174829969151
2005-04-01,4487.5,10713523.0,5.67,2.75,One_storey,210100,-1.8954914623824055,-1.5818833033519386,1.1606519922535243,0.8390174829969151
2005-05-01,4487.5,10713523.0,5.55,2.75,One_storey,210600,-1.8954914623824055,-1.5818833033519386,1.0337704999437065,0.8390174829969151
2005-06-01,4487.5,10713523.0,5.31,2.75,One_storey,211400,-1.8954914623824055,-1.5818833033519386,0.780007515324071,0.8390174829969151
2005-07-01,4487.5,10747577.33333333,5.26,2.75,One_storey,213600,-1.8954914623824055,-1.528795965468329,0.7271402268616471,0.8390174829969151
2005-08-01,4487.5,10747577.33333333,5.32,2.75,One_storey,215900,-1.8954914623824055,-1.528795965468329,0.7905809730165565,0.8390174829969151
2005-09-01,4487.5,10747577.33333333,5.3,3.0,One_storey,218400,-1.8954914623824055,-1.528795965468329,0.7694340576315865,1.0371583349137008
2005-10-01,4487.5,10784437.0,5.39,3.25,One_storey,221000,-1.8954914623824055,-1.4713353903498154,0.8645951768639495,1.2352991868304863
2005-11-01,4487.5,10784437.0,5.56,3.25,One_storey,223700,-1.8954914623824055,-1.4713353903498154,1.044343957636191,1.2352991868304863
2005-12-01,4487.5,10784437.0,5.6,3.5,One_storey,226100,-1.8954914623824055,-1.4713353903498154,1.0866377884061305,1.433440038747272
2006-01-01,4591.666666666667,10798303.0,5.65,3.75,One_storey,229000,-1.4263192978041555,-1.449719667619643,1.1395050768685553,1.6315808906640576
2006-02-01,4591.666666666667,10798303.0,5.75,3.75,One_storey,231600,-1.4263192978041555,-1.449719667619643,1.245239653793403,1.6315808906640576
2006-03-01,4591.666666666667,10798303.0,5.78,4.0,One_storey,234400,-1.4263192978041555,-1.449719667619643,1.2769600268708576,1.8297217425808432
2006-04-01,4591.666666666667,10823390.33333333,5.88,4.25,One_storey,237500,-1.4263192978041555,-1.4106109959498987,1.3826946037957053,2.0278625944976287
2006-05-01,4591.666666666667,10823390.33333333,6.05,4.5,One_storey,240800,-1.4263192978041555,-1.4106109959498987,1.5624433845679468,2.2260034464144147
2006-06-01,4591.666666666667,10823390.33333333,6.12,4.5,One_storey,243900,-1.4263192978041555,-1.4106109959498987,1.6364575884153407,2.2260034464144147
2006-07-01,4591.666666666667,10857064.33333333,6.26,4.5,One_storey,246600,-1.4263192978041555,-1.358116560120112,1.7844859961101278,2.2260034464144147
2006-08-01,4591.666666666667,10857064.33333333,6.24,4.5,One_storey,249400,-1.4263192978041555,-1.358116560120112,1.7633390807251585,2.2260034464144147
2006-09-01,4591.666666666667,10857064.33333333,6.13,4.5,One_storey,252000,-1.4263192978041555,-1.358116560120112,1.6470310461078255,2.2260034464144147
2006-10-01,4591.666666666667,10893613.0,6.01,4.5,One_storey,253900,-1.4263192978041555,-1.3011408032454383,1.5201495537980076,2.2260034464144147
2006-11-01,4591.666666666667,10893613.0,5.99,4.5,One_storey,256200,-1.4263192978041555,-1.3011408032454383,1.4990026384130384,2.2260034464144147
2006-12-01,4591.666666666667,10893613.0,5.89,4.5,One_storey,259300,-1.4263192978041555,-1.3011408032454383,1.3932680614881898,2.2260034464144147
2007-01-01,4732.5,10905949.33333333,5.91,4.5,One_storey,261500,-0.7919985312943648,-1.2819096795731284,1.41441497687316,2.2260034464144147
2007-02-01,4732.5,10905949.33333333,6.0,4.5,One_storey,264700,-0.7919985312943648,-1.2819096795731284,1.5095760961055231,2.2260034464144147
2007-03-01,4732.5,10905949.33333333,5.91,4.5,One_storey,267400,-0.7919985312943648,-1.2819096795731284,1.41441497687316,2.2260034464144147
2007-04-01,4732.5,10928654.66666667,5.92,4.5,One_storey,269800,-0.7919985312943648,-1.2465143103368954,1.4249884345656445,2.2260034464144147
2007-05-01,4732.5,10928654.66666667,6.01,4.5,One_storey,273400,-0.7919985312943648,-1.2465143103368954,1.5201495537980076,2.2260034464144147
2007-06-01,4732.5,10928654.66666667,6.51,4.5,One_storey,276600,-0.7919985312943648,-1.2465143103368954,2.0488224384222478,2.2260034464144147
2007-07-01,4732.5,10962962.0,6.6,4.75,One_storey,279000,-0.7919985312943648,-1.1930325704735703,2.143983557654611,2.4241442983312003
2007-08-01,4732.5,10962962.0,6.62,4.75,One_storey,280700,-0.7919985312943648,-1.1930325704735703,2.1651304730395813,2.4241442983312003
2007-09-01,4732.5,10962962.0,6.61,4.75,One_storey,282800,-0.7919985312943648,-1.1930325704735703,2.1545570153470965,2.4241442983312003
2007-10-01,4732.5,11000639.33333333,6.69,4.75,One_storey,284400,-0.7919985312943648,-1.134297333884392,2.239144676886975,2.4241442983312003
2007-11-01,4732.5,11000639.33333333,6.73,4.75,One_storey,286000,-0.7919985312943648,-1.134297333884392,2.2814385076569144,2.4241442983312003
2007-12-01,4732.5,11000639.33333333,6.75,4.5,One_storey,287000,-0.7919985312943648,-1.134297333884392,2.3025854230418834,2.2260034464144147
