Date,Median income,Population,Mortgage Rate,Interest Rate,property_type,price
2005-01-01,4487.5,10691670.33333333,5.6,2.75,One_storey,207700
2005-02-01,4487.5,10691670.33333333,5.59,2.75,One_storey,208400
2005-03-01,4487.5,10691670.33333333,5.6,2.75,One_storey,209200
2005-04-01,4487.5,10713523.0,5.67,2.75,One_storey,210100
2005-05-01,4487.5,10713523.0,5.55,2.75,One_storey,210600
2005-06-01,4487.5,10713523.0,5.31,2.75,One_storey,211400
2005-07-01,4487.5,10747577.33333333,5.26,2.75,One_storey,213600
2005-08-01,4487.5,10747577.33333333,5.32,2.75,One_storey,215900
2005-09-01,4487.5,10747577.33333333,5.3,3.0,One_storey,218400
2005-10-01,4487.5,10784437.0,5.39,3.25,One_storey,221000
2005-11-01,4487.5,10784437.0,5.56,3.25,One_storey,223700
2005-12-01,4487.5,10784437.0,5.6,3.5,One_storey,226100
2006-01-01,4591.666666666667,10798303.0,5.65,3.75,One_storey,229000
2006-02-01,4591.666666666667,10798303.0,5.75,3.75,One_storey,231600
2006-03-01,4591.666666666667,10798303.0,5.78,4.0,One_storey,234400
2006-04-01,4591.666666666667,10823390.33333333,5.88,4.25,One_storey,237500
2006-05-01,4591.666666666667,10823390.33333333,6.05,4.5,One_storey,240800
2006-06-01,4591.666666666667,10823390.33333333,6.12,4.5,One_storey,243900
2006-07-01,4591.666666666667,10857064.33333333,6.26,4.5,One_storey,246600
2006-08-01,4591.666666666667,10857064.33333333,6.24,4.5,One_storey,249400
2006-09-01,4591.666666666667,10857064.33333333,6.13,4.5,One_storey,252000
2006-10-01,4591.666666666667,10893613.0,6.01,4.5,One_storey,253900
2006-11-01,4591.666666666667,10893613.0,5.99,4.5,One_storey,256200
2006-12-01,4591.666666666667,10893613.0,5.89,4.5,One_storey,259300
2007-01-01,4732.5,10905949.33333333,5.91,4.5,One_storey,261500
2007-02-01,4732.5,10905949.33333333,6.0,4.5,One_storey,264700
2007-03-01,4732.5,10905949.33333333,5.91,4.5,One_storey,267400
2007-04-01,4732.5,10928654.66666667,5.92,4.5,One_storey,269800
2007-05-01,4732.5,10928654.66666667,6.01,4.5,One_storey,273400
2007-06-01,4732.5,10928654.66666667,6.51,4.5,One_storey,276600
2007-07-01,4732.5,10962962.0,6.6,4.75,One_storey,279000
2007-08-01,4732.5,10962962.0,6.62,4.75,One_storey,280700
2007-09-01,4732.5,10962962.0,6.61,4.75,One_storey,282800
2007-10-01,4732.5,11000639.33333333,6.69,4.75,One_storey,284400
2007-11-01,4732.5,11000639.33333333,6.73,4.75,One_storey,286000
2007-12-01,4732.5,11000639.33333333,6.75,4.5,One_storey,287000
2008-01-01,4784.166666666667,11016754.0,6.81,4.25,One_storey,288500
2008-02-01,4784.166666666667,11016754.0,6.72,4.25,One_storey,289000
