Date,Composite,One_storey,Two_storey,Townhouse,Apartment_unit,Median income
2005-01-01,239800,207700,302900,201700,172000,4487.5
2005-02-01,240500,208400,303300,202300,173000,4487.5
2005-03-01,241300,209200,304300,202900,173900,4487.5
2005-04-01,242000,210100,304800,203300,174600,4487.5
2005-05-01,242600,210600,305400,203700,175400,4487.5
2005-06-01,244000,211400,307200,204500,176800,4487.5
2005-07-01,246100,213600,309600,206500,178100,4487.5
2005-08-01,248300,215900,312300,208400,179200,4487.5
2005-09-01,250900,218400,314800,210900,182800,4487.5
2005-10-01,253800,221000,318500,213000,184000,4487.5
2005-11-01,256600,223700,321500,215700,186100,4487.5
2005-12-01,259100,226100,324600,217700,188200,4487.5
2006-01-01,262300,229000,328100,221000,190600,4591.666666666667
2006-02-01,265000,231600,331100,224000,193000,4591.666666666667
2006-03-01,267900,234400,334500,226500,194900,4591.666666666667
2006-04-01,271200,237500,338200,229800,197300,4591.666666666667
2006-05-01,274400,240800,341600,233500,200000,4591.666666666667
2006-06-01,277400,243900,344600,237500,202500,4591.666666666667
2006-07-01,280200,246600,347300,240800,205100,4591.666666666667
2006-08-01,283100,249400,350100,244200,208000,4591.666666666667
2006-09-01,285900,252000,353500,246800,211200,4591.666666666667
2006-10-01,287300,253900,354300,249800,212200,4591.666666666667
2006-11-01,289300,256200,356400,251900,213300,4591.666666666667
2006-12-01,291800,259300,358500,254700,215100,4591.666666666667
2007-01-01,294100,261500,361000,256700,217300,4732.5
2007-02-01,297400,264700,365200,258900,219200,4732.5
2007-03-01,300200,267400,367900,262200,221900,4732.5
2007-04-01,302900,269800,371200,264200,224200,4732.5
2007-05-01,306200,273400,374800,266800,226700,4732.5
2007-06-01,309100,276600,377900,269100,229000,4732.5
2007-07-01,311700,279000,381000,271100,231100,4732.5
2007-08-01,313700,280700,383400,273300,232800,4732.5
2007-09-01,315800,282800,385900,274500,234700,4732.5
2007-10-01,317700,284400,388200,276000,236300,4732.5
2007-11-01,319400,286000,390000,277800,238600,4732.5
2007-12-01,321500,287000,392900,279900,240300,4732.5
2008-01-01,323100,288500,394600,281500,241800,4784.166666666667
2008-02-01,323600,289000,395200,282100,242200,4784.166666666667
2008-03-01,323600,289000,395000,282700,242500,4784.166666666667
2008-04-01,322500,287700,393500,282900,241700,4784.166666666667
2008-05-01,320700,285900,391200,282200,240700,4784.166666666667
2008-06-01,318900,284300,389100,280900,239200,4784.166666666667
2008-07-01,316700,281900,386300,279500,237900,4784.166666666667
2008-08-01,314700,280400,383600,277700,236100,4784.166666666667
2008-09-01,312900,278800,381400,276200,234600,4784.166666666667
2008-10-01,308800,275000,376500,273800,231600,4784.166666666667
2008-11-01,305600,271500,373300,271200,228600,4784.166666666667
2008-12-01,301700,268400,368300,265500,226200,4784.166666666667
2009-01-01,298600,265700,364800,264400,222300,4807.5
2009-02-01,296000,263200,361100,262300,221100,4807.5
2009-03-01,294000,260000,359500,260100,220300,4807.5
2009-04-01,295300,261500,361100,259500,221500,4807.5
2009-05-01,297700,263000,364800,260200,223200,4807.5
2009-06-01,301400,265400,369800,261900,226400,4807.5
2009-07-01,305700,268800,375500,265600,229700,4807.5
2009-08-01,310100,271900,381500,268600,233000,4807.5
2009-09-01,314800,275200,387900,272200,236300,4807.5
2009-10-01,319500,278700,394400,275800,239900,4807.5
2009-11-01,323700,281700,399900,279200,243500,4807.5
2009-12-01,327200,284800,404300,282500,246100,4807.5
2010-01-01,329800,285800,407700,286200,249300,4783.333333333333
2010-02-01,331800,287000,411000,287400,250000,4783.333333333333
2010-03-01,333300,287700,413100,289500,251000,4783.333333333333
2010-04-01,334000,288400,413700,291100,251300,4783.333333333333
2010-05-01,333600,287800,413500,291100,251100,4783.333333333333
2010-06-01,332400,286400,412200,291000,249500,4783.333333333333
2010-07-01,331600,285900,411500,289200,248400,4783.333333333333
2010-08-01,331300,285200,411700,288400,247300,4783.333333333333
2010-09-01,331500,284900,412100,288400,248100,4783.333333333333
2010-10-01,332600,285700,413500,288300,249200,4783.333333333333
2010-11-01,334200,286400,416500,289000,249900,4783.333333333333
2010-12-01,335900,287100,419300,290800,251200,4783.333333333333
2011-01-01,338400,288400,423300,291300,252700,4770.0
2011-02-01,341200,290400,427200,292700,254100,4770.0
2011-03-01,343600,292100,431200,293900,255400,4770.0
2011-04-01,346000,293400,434900,294700,256300,4770.0
2011-05-01,348500,295500,439200,295600,257000,4770.0
2011-06-01,351300,297300,443500,296100,258700,4770.0
2011-07-01,353700,298600,447200,298700,259900,4770.0
2011-08-01,356100,300000,450700,300900,260700,4770.0
2011-09-01,357800,301500,453400,301500,261500,4770.0
2011-10-01,359500,302800,456300,302400,261500,4770.0
2011-11-01,361400,305000,458600,303500,262800,4770.0
2011-12-01,363100,306900,461300,302800,263300,4770.0
2012-01-01,364900,309100,463900,303400,263600,4835.0
2012-02-01,366200,308400,466700,304700,263700,4835.0
2012-03-01,367700,310600,468700,305000,263800,4835.0
2012-04-01,369100,312000,470500,305400,264100,4835.0
2012-05-01,369000,313400,469800,305500,264100,4835.0
2012-06-01,368600,312600,469600,305500,263400,4835.0
2012-07-01,368400,312500,469500,305200,262700,4835.0
2012-08-01,367700,312700,468200,304000,262100,4835.0
2012-09-01,367700,312500,468300,303400,261800,4835.0
2012-10-01,367500,312500,468000,303600,261000,4835.0
2012-11-01,367100,312500,467500,303400,259900,4835.0
2012-12-01,368400,313700,469100,304800,259800,4835.0
2013-01-01,368200,313000,469300,305400,259500,4894.166666666667
2013-02-01,369000,313500,470000,305100,260300,4894.166666666667
2013-03-01,369600,314600,470500,305200,260600,4894.166666666667
2013-04-01,370500,314700,472500,305600,260100,4894.166666666667
2013-05-01,371400,315300,473600,306800,261100,4894.166666666667
2013-06-01,372600,316400,475000,307200,261100,4894.166666666667
2013-07-01,374400,318000,477600,307600,261700,4894.166666666667
2013-08-01,376400,319300,480800,308100,262900,4894.166666666667
2013-09-01,378600,321900,483400,310500,263200,4894.166666666667
2013-10-01,380900,323300,487300,311500,263800,4894.166666666667
2013-11-01,383100,325100,490500,313300,264400,4894.166666666667
2013-12-01,384800,326700,492800,314700,265300,4894.166666666667
2014-01-01,386700,328400,495300,315100,266700,4910.833333333333
2014-02-01,388000,329500,496900,316900,266500,4910.833333333333
2014-03-01,388600,329400,498200,318200,266800,4910.833333333333
2014-04-01,389600,330100,499400,319000,267500,4910.833333333333
2014-05-01,390900,330900,501900,319400,267300,4910.833333333333
2014-06-01,392700,332400,504300,320600,268500,4910.833333333333
2014-07-01,394400,333600,507000,321800,269200,4910.833333333333
2014-08-01,396600,335000,510300,324200,270100,4910.833333333333
2014-09-01,399100,336700,514100,325700,271500,4910.833333333333
2014-10-01,402000,338400,518200,327900,273700,4910.833333333333
2014-11-01,405000,340200,522600,329500,276000,4910.833333333333
2014-12-01,407400,341800,526800,329000,276700,4910.833333333333
2015-01-01,409200,343500,528800,333400,277300,4960.0
2015-02-01,410600,344400,531700,334000,276200,4960.0
2015-03-01,412900,345000,536000,334800,278300,4960.0
2015-04-01,415500,346900,540300,335400,279300,4960.0
2015-05-01,418500,348400,545200,337200,280200,4960.0
2015-06-01,422700,351300,552100,339600,281500,4960.0
2015-07-01,427200,354400,558900,341600,283600,4960.0
2015-08-01,432000,358400,566000,344700,285700,4960.0
2015-09-01,436500,361500,572200,348600,288600,4960.0
2015-10-01,441000,364600,578700,352800,291100,4960.0
2015-11-01,445600,367600,585800,356500,293700,4960.0
2015-12-01,450100,371000,592100,359900,296100,4960.0
2016-01-01,455800,374400,601600,362800,298800,4967.5
2016-02-01,462200,379500,611200,365700,302300,4967.5
2016-03-01,468700,385300,621600,370900,304400,4967.5
2016-04-01,476600,391900,633000,376900,307800,4967.5
2016-05-01,485700,399400,645600,384100,312400,4967.5
2016-06-01,494000,405500,657300,390900,318400,4967.5
2016-07-01,501400,410100,668200,397900,322600,4967.5
2016-08-01,506600,413700,675500,403600,325800,4967.5
2016-09-01,511100,416200,682100,408000,329500,4967.5
2016-10-01,513900,419500,684900,411000,331900,4967.5
2016-11-01,517500,422200,688400,416400,336100,4967.5
2016-12-01,520500,424700,691400,419100,341000,4967.5
2017-01-01,528000,429200,702300,428600,346300,5033.333333333333
2017-02-01,540100,439800,719700,438700,351500,5033.333333333333
2017-03-01,553800,450900,739000,446600,363000,5033.333333333333
2017-04-01,560000,456000,744000,455000,372500,5033.333333333333
2017-05-01,558000,453700,737800,459200,378600,5033.333333333333
2017-06-01,553600,450200,728400,461100,382500,5033.333333333333
2017-07-01,548700,446900,717800,463100,385200,5033.333333333333
2017-08-01,546300,444300,712200,464100,389700,5033.333333333333
2017-09-01,546300,444800,710300,465600,393100,5033.333333333333
2017-10-01,547300,445000,709700,469900,398600,5033.333333333333
2017-11-01,549000,446400,710900,471400,402200,5033.333333333333
2017-12-01,549900,449400,709400,474600,406000,5033.333333333333
2018-01-01,548600,447300,705300,477200,410200,5047.5
2018-02-01,545900,446700,699400,478200,410700,5047.5
2018-03-01,543900,445800,694400,481100,413800,5047.5
2018-04-01,542100,445200,690900,481200,413900,5047.5
2018-05-01,541300,443900,689700,481100,415700,5047.5
2018-06-01,540900,442500,689300,483400,416400,5047.5
2018-07-01,540700,442400,688100,484300,418200,5047.5
2018-08-01,540100,443100,686800,483800,418100,5047.5
2018-09-01,539000,441900,685000,485000,418200,5047.5
2018-10-01,538400,441900,683800,484300,418300,5047.5
2018-11-01,535100,439800,679000,484200,414900,5047.5
2018-12-01,532400,436900,675300,481300,416100,5047.5
2019-01-01,526500,433900,666300,476300,411700,5063.333333333333
2019-02-01,520300,428300,658300,471800,408000,5063.333333333333
2019-03-01,516800,427200,654400,467900,404300,5063.333333333333
2019-04-01,516700,426600,654400,467900,403500,5063.333333333333
2019-05-01,517600,427600,655700,470800,403200,5063.333333333333
2019-06-01,519900,430400,658200,471900,405200,5063.333333333333
2019-07-01,522800,431900,662800,473900,406700,5063.333333333333
2019-08-01,525100,433500,664900,479000,409600,5063.333333333333
2019-09-01,528000,435600,668700,482400,413300,5063.333333333333
2019-10-01,530900,438000,672600,486000,415600,5063.333333333333
2019-11-01,533200,439700,674200,488900,419800,5063.333333333333
2019-12-01,535100,441300,675900,491400,423200,5063.333333333333
2020-01-01,537200,442400,676900,494300,427200,5430.833333333333
2020-02-01,539400,443500,680000,493400,429800,5430.833333333333
2020-03-01,539800,443300,682600,492000,429400,5430.833333333333
2020-04-01,532800,435400,672800,490600,424300,5430.833333333333
2020-05-01,537100,439100,681000,491100,422800,5430.833333333333
2020-06-01,546100,449800,693900,497500,422900,5430.833333333333
2020-07-01,559500,463200,711500,507900,427300,5430.833333333333
2020-08-01,572100,474500,728400,518100,431300,5430.833333333333
2020-09-01,581100,485200,739900,526100,433600,5430.833333333333
2020-10-01,587000,492100,747500,532300,434200,5430.833333333333
2020-11-01,594900,501100,758900,538000,434000,5430.833333333333
2020-12-01,604000,509900,771900,544500,437000,5430.833333333333
2021-01-01,617400,521600,793800,551900,438400,5276.666666666667
2021-02-01,634500,539000,816800,565600,442800,5276.666666666667
2021-03-01,652500,558000,840100,582800,451400,5276.666666666667
2021-04-01,664300,568400,852300,593900,460500,5276.666666666667
2021-05-01,674800,578300,864500,605500,466200,5276.666666666667
2021-06-01,684600,587700,877400,615200,471700,5276.666666666667
2021-07-01,692100,593600,888300,621600,476000,5276.666666666667
2021-08-01,702000,603300,900000,631300,481500,5276.666666666667
2021-09-01,717100,613300,924100,644500,491700,5276.666666666667
2021-10-01,738000,628700,955000,660900,504200,5276.666666666667
2021-11-01,757900,644200,982700,682000,516600,5276.666666666667
2021-12-01,776000,661400,1007300,695700,526600,5276.666666666667
2022-01-01,810100,693400,1053600,723700,542000,5066.666666666667
2022-02-01,834700,713600,1085300,746300,558200,5066.666666666667
2022-03-01,834300,711100,1080900,757800,571000,5066.666666666667
2022-04-01,819800,696900,1056700,747500,568200,5066.666666666667
2022-05-01,804500,682600,1033900,737600,566000,5066.666666666667
2022-06-01,783200,661800,1005500,721700,557700,5066.666666666667
2022-07-01,765100,644100,979100,709900,551500,5066.666666666667
2022-08-01,749600,630200,957700,693800,544100,5066.666666666667
2022-09-01,739200,619400,947700,684900,537100,5066.666666666667
2022-10-01,731400,613300,937000,679200,532400,5066.666666666667
2022-11-01,725100,607900,928800,672800,530000,5066.666666666667
